ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (m),Width (m),Height (m),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _customize_changeset_uuid
61,simple,,iPhone X 256GB,1,0,visible,,"Màn hình: 5.8"", Super Retina,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 3 GB, ROM: 256 GB,Camera: 2 camera 12 MP, Selfie: 7 MP,PIN: 2716 mAh",,,taxable,,1,,0,0,,,,,1,,18,34790000₫,iPhone,,,https://cdn1.tgdd.vn/Products/Images/42/114111/iphone-x-256gb-a1-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
62,simple,,iPhone X 64GB,1,0,visible,,"Màn hình: 5.8"", Super Retina,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 3 GB, ROM: 64 GB,Camera: 2 camera 12 MP, Selfie: 7 MP,PIN: 2716 mAh",,,taxable,,1,,0,0,,,,,1,,55,29990000₫,iPhone,,,https://cdn.tgdd.vn/Products/Images/42/114115/iphone-x-64gb-hh-600x600-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
63,simple,,iPhone 8 Plus 256GB,1,0,visible,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 3 GB, ROM: 256 GB,Camera: 2 camera 12 MP, Selfie: 7 MP,PIN: 2691 mAh",,,taxable,,1,,0,0,,,,,1,,16,Dự kiến: 28790000₫,iPhone,,,https://cdn4.tgdd.vn/Products/Images/42/114114/iphone-8-plus-256gb-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
64,simple,,iPhone 8 Plus Red 256GB (Đỏ),1,1,visible,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 3 GB, ROM: 256 GB,Camera: 2 camera 12 MP, Selfie: 7 MP,PIN: 2691 mAh",,,taxable,,1,,0,0,,,,,1,,,,iPhone,,,https://cdn1.tgdd.vn/Products/Images/42/164236/iphone-8-plus-do-256gb-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
65,simple,,iPhone 8 256GB,1,0,visible,,"Màn hình: 4.7"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 2 GB, ROM: 256 GB,Camera: 12 MP, Selfie: 7 MP,PIN: 1821 mAh",,,taxable,,1,,0,0,,,,,1,,,25790000₫,iPhone,,,https://cdn2.tgdd.vn/Products/Images/42/114112/iphone-8-256gb-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
66,simple,,iPhone 8 Plus 64GB,1,1,visible,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 3 GB, ROM: 64 GB,Camera: 2 camera 12 MP, Selfie: 7 MP,PIN: 2691 mAh",,,taxable,,1,,0,0,,,,,1,,35,23990000₫,iPhone,,,https://cdn.tgdd.vn/Products/Images/42/114110/iphone-8-plus-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
67,simple,,iPhone 8 Plus Red 64GB (Đỏ),1,1,visible,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 3 GB, ROM: 64 GB,Camera: 2 camera 12 MP, Selfie: 7 MP,PIN: 2691 mAh",,,taxable,,1,,0,0,,,,,1,,,,iPhone,,,https://cdn3.tgdd.vn/Products/Images/42/158738/iphone-8-plus-red-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
68,simple,,iPhone 7 Plus 128GB,1,1,visible,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A10 Fusion 4 nhân,RAM: 3 GB, ROM: 128 GB,Camera: 2x12 MP, Selfie: 7 MP,PIN: 2900 mAh, SIM: 1 SIM",,,taxable,,1,,0,0,,,,,1,,42,22990000₫,iPhone,,,https://cdn4.tgdd.vn/Products/Images/42/87839/iphone-7-plus-128gb-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
69,simple,,iPhone 8 64GB,1,0,visible,,"Màn hình: 4.7"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 2 GB, ROM: 64 GB,Camera: 12 MP, Selfie: 7 MP,PIN: 1821 mAh",,,taxable,,1,,0,0,,,,,1,,,20990000₫,iPhone,,,https://cdn3.tgdd.vn/Products/Images/42/114113/iphone-8-64gb-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
70,simple,,iPhone 8 Red 64GB (Đỏ),1,0,visible,,"Màn hình: 4.7"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 2 GB, ROM: 64 GB,Camera: 12 MP, Selfie: 7 MP,PIN: 1821 mAh",,,taxable,,1,,0,0,,,,,1,,,,iPhone,,,https://cdn.tgdd.vn/Products/Images/42/158730/iphone-8-red-do-2-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
71,simple,,iPhone 7 Plus 32GB,1,0,visible,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A10 4 nhân,RAM: 3 GB, ROM: 32 GB,Camera: kép 12 MP, Selfie: 7 MP,PIN: 2900 mAh",,,taxable,,1,,0,0,,,,,1,,,19990000₫,iPhone,,,https://cdn4.tgdd.vn/Products/Images/42/78124/iphone-7-plus-32gb-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
72,simple,,iPhone 7 32GB,1,0,visible,,"Màn hình: 4.7"", Retina HD,HĐH: iOS 11,CPU: Apple A10 Fusion 4 nhân,RAM: 2 GB, ROM: 32 GB,Camera: 12 MP, Selfie: 7 MP,PIN: 1960 mAh, SIM: 1 SIM",,,taxable,,1,,0,0,,,,,1,,,15990000₫,iPhone,,,https://cdn.tgdd.vn/Products/Images/42/74110/iphone-7-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
73,simple,,iPhone 6s Plus 32GB,1,0,visible,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A9 2 nhân 64-bit,RAM: 2 GB, ROM: 32 GB,Camera: 12 MP, Selfie: 5 MP,PIN: 2750 mAh",,,taxable,,1,,0,0,,,,,1,,,13990000₫,iPhone,,,https://cdn1.tgdd.vn/Products/Images/42/87846/iphone-6s-plus-32gb-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e1
74,simple,,iPhone 6s 32GB,1,0,visible,,"Màn hình: 4.7"", Retina HD,HĐH: iOS 11,CPU: Apple A9 2 nhân,RAM: 2 GB, ROM: 32 GB,Camera: 12 MP, Selfie: 5 MP,PIN: 1715 mAh, SIM: 1 Sim",,,taxable,,1,,0,0,,,,,1,,,12490000₫,iPhone,,,https://cdn2.tgdd.vn/Products/Images/42/87842/iphone-6s-32gb-vang-dong-1-400x400.png,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e2
75,simple,,iPhone 6 32GB,1,0,visible,,"Màn hình: 4.7"", Retina HD,HĐH: iOS 11,CPU: Apple A8 2 nhân 64-bit,RAM: 1 GB, ROM: 32 GB,Camera: 8 MP, Selfie: 1.2 MP,PIN: 1810 mAh",,,taxable,,1,,0,0,,,,,1,,,6990000₫,iPhone,,,https://cdn2.tgdd.vn/Products/Images/42/92962/iphone-6-32gb-gold-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e3
