ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (m),Width (m),Height (m),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _customize_changeset_uuid
61,simple,,iPhone X 256GB,1,0,visible,,"Màn hình: 5.8"", Super Retina,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 3 GB, ROM: 256 GB,Camera: 2 camera 12 MP, Selfie: 7 MP,PIN: 2716 mAh",,,taxable,,1,,0,0,,,,,1,,18,34.790.000₫,Accessories,,,https://cdn1.tgdd.vn/Products/Images/42/114111/iphone-x-256gb-a1-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
62,simple,,Sony Xperia XZ2,1,0,visible,,"Màn hình: 5.7"", Full HD+,HĐH: Android 8.0,CPU: Snapdragon 845 8 nhân,RAM: 4 GB, ROM: 64 GB,Camera: 19 MP, Selfie: 5 MP,PIN: 3180 mAh",,,taxable,,1,,0,0,,,,,1,,55,19.990.000₫,Accessories,,,https://cdn4.tgdd.vn/Products/Images/42/146014/sony-xperia-xz2-1-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
63,simple,,Huawei P20 Pro,1,0,visible,,"Màn hình: 6.1"", Full HD+,HĐH: Android 8.1 (Oreo),CPU: Hisilicon Kirin 970 8 nhân,RAM: 6 GB, ROM: 128 GB,Camera: 40 MP, 20 MP và 8 MP (3 camera), Selfie: 24 MP,PIN: 4000 mAh",,,taxable,,1,,0,0,,,,,1,,16,Dự kiến: 19.990.000₫,Accessories,,,https://cdn.tgdd.vn/Products/Images/42/154685/huawei-p20-pro-2-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
64,simple,,iPhone X 64GB,1,1,visible,,"Màn hình: 5.8"", Super Retina,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 3 GB, ROM: 64 GB,Camera: 2 camera 12 MP, Selfie: 7 MP,PIN: 2716 mAh",,,taxable,,1,,0,0,,,,,1,,,29.990.000₫,Accessories,,,https://cdn.tgdd.vn/Products/Images/42/114115/iphone-x-64gb-hh-600x600-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
65,simple,,iPhone 8 Plus 256GB,1,0,visible,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 3 GB, ROM: 256 GB,Camera: 2 camera 12 MP, Selfie: 7 MP,PIN: 2691 mAh",,,taxable,,1,,0,0,,,,,1,,,Dự kiến: 28.790.000₫,Hoodies,,,https://cdn4.tgdd.vn/Products/Images/42/114114/iphone-8-plus-256gb-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
66,simple,,iPhone 8 Plus Red 256GB (Đỏ),1,1,visible,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 3 GB, ROM: 256 GB,Camera: 2 camera 12 MP, Selfie: 7 MP,PIN: 2691 mAh",,,taxable,,1,,0,0,,,,,1,,35,,Hoodies,,,https://cdn1.tgdd.vn/Products/Images/42/164236/iphone-8-plus-do-256gb-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
67,simple,,Sony Xperia XZ Premium,1,1,visible,,"Màn hình: 5.5"", Ultra HD (4K),HĐH: Android 8.0,CPU: Snapdragon 835 8 nhân,RAM: 4 GB, ROM: 64 GB,Camera: 19 MP, Selfie: 13 MP,PIN: 3230 mAh",,,taxable,,1,,0,0,,,,,1,,,15.990.000₫,Hoodies,,,https://cdn4.tgdd.vn/Products/Images/42/92069/sony-xperia-xz-premium-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
68,simple,,Sony Xperia XZ Premium Pink Gold,1,1,visible,,"Màn hình: 5.5"", Ultra HD (4K),HĐH: Android 8.0,CPU: Snapdragon 835 8 nhân,RAM: 4 GB, ROM: 64 GB,Camera: 19 MP, Selfie: 13 MP,PIN: 3230 mAh",,,taxable,,1,,0,0,,,,,1,,42,14.490.000₫,Hoodies,,,https://cdn1.tgdd.vn/Products/Images/42/113126/sony-xperia-xz-premium-pink-gold-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
69,simple,,Sony Xperia XZ1,1,0,visible,,"Màn hình: 5.2"", Full HD,HĐH: Android 8.0,CPU: Qualcomm Snapdragon 835 8 nhân 64-bit,RAM: 4 GB, ROM: 64 GB,Camera: 19 MP, Selfie: 13 MP,PIN: 2700 mAh",,,taxable,,1,,0,0,,,,,1,,,11.990.000₫,Tshirts,,,https://cdn.tgdd.vn/Products/Images/42/108680/sony-xperia-xz1-hh-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
70,simple,,Sony Xperia XZs,1,0,visible,,"Màn hình: 5.2"", Full HD,HĐH: Android 7.0,CPU: Snapdragon 820 4 nhân,RAM: 4 GB, ROM: 64 GB,Camera: 19 MP, Selfie: 13 MP,PIN: 2900 mAh",,,taxable,,1,,0,0,,,,,1,,,9.990.000₫,Tshirts,,,https://cdn2.tgdd.vn/Products/Images/42/92082/sony-xperia-xzs-den-200x200.png,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
71,simple,,Sony Xperia XZ Dual,1,0,visible,,"Màn hình: 5.2"", Full HD,HĐH: Android 7.0,CPU: Snapdragon 820 4 nhân,RAM: 3 GB, ROM: 64 GB,Camera: 23 MP, Selfie: 13 MP,PIN: 2900 mAh",,,taxable,,1,,0,0,,,,,1,,,9.990.000₫,Tshirts,,,https://cdn.tgdd.vn/Products/Images/42/85235/sony-xperia-xz-h-2-200x200.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
72,simple,,Huawei Nova 3e Hồng,1,0,visible,,"Màn hình: 5.84"", Full HD+,HĐH: Android 8.0 (Oreo),CPU: HiSilicon Kirin 659 8 nhân,RAM: 4 GB, ROM: 64 GB,Camera: 16 MP và 2 MP (2 camera), Selfie: 16 MP,PIN: 3000 mAh",,,taxable,,1,,0,0,,,,,1,,,6.990.000₫,Tshirts,,,https://cdn4.tgdd.vn/Products/Images/42/159569/huawei-nova-3e-hong-10-400x400.jpg,,,,,,,,,0,9a3af3a5-24eb-4577-9893-8819702233e0
,,,Huawei Nova 3e,,,,,"Màn hình: 5.84"", Full HD+,HĐH: Android 8.0 (Oreo),CPU: HiSilicon Kirin 659 8 nhân,RAM: 4 GB, ROM: 64 GB,Camera: 16 MP và 2 MP (2 camera), Selfie: 16 MP,PIN: 3000 mAh",,,,,,,,,,,,,,,,6.990.000₫,,,,https://cdn.tgdd.vn/Products/Images/42/154260/huawei-nova-3e-2-400x400.jpg,,,,,,,,,,
,,,Huawei Nova 2i,,,,,"Màn hình: 5.9"", FullHD+,HĐH: Android 7.0,CPU: HiSilicon Kirin 659 8 nhân,RAM: 4 GB, ROM: 64 GB,Camera: 16 MP và 2 MP ,Selfie: 13 MP và 2 MP,PIN: 3340 mAh",,,,,,,,,,,,,,,,5.490.000₫,,,,https://cdn3.tgdd.vn/Products/Images/42/118143/huawei-nova-2i-hh-600x600-400x400.jpg,,,,,,,,,,
,,,Nokia 7 plus,,,,,"Màn hình: 6"", Full HD+,HĐH: Android 8.0 (Oreo),CPU: Qualcomm Snapdragon 660 8 nhân,RAM: 4 GB, ROM: 64 GB,Camera: 12 MP và 13 MP (2 camera), Selfie: 16 MP,PIN: 3800 mAh",,,,,,,,,,,,,,,,8.990.000₫,,,,https://cdn4.tgdd.vn/Products/Images/42/153854/nokia-7-plus-2-400x400.jpg,,,,,,,,,,
,,,OPPO F7 128GB,,,,,"Màn hình: 6.23"", Full HD+,HĐH: ColorOS 5.0 (Android 8.1),CPU: MediaTek Helio P60,RAM: 6 GB, ROM: 128 GB,Camera: 16 MP, Selfie: 25 MP,PIN: 3400 mAh",,,,,,,,,,,,,,,,9.990.000₫,,,,https://cdn4.tgdd.vn/Products/Images/42/158464/oppo-f7-128gb-den-400x400.jpg,,,,,,,,,,
,,,iPhone 8 256GB,,,,,"Màn hình: 4.7"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 2 GB, ROM: 256 GB,Camera: 12 MP, Selfie: 7 MP,PIN: 1821 mAh",,,,,,,,,,,,,,,,25.790.000₫,,,,https://cdn2.tgdd.vn/Products/Images/42/114112/iphone-8-256gb-hh-400x400.jpg,,,,,,,,,,
,,,iPhone 8 Plus 64GB,,,,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 3 GB, ROM: 64 GB,Camera: 2 camera 12 MP, Selfie: 7 MP,PIN: 2691 mAh",,,,,,,,,,,,,,,,23.990.000₫,,,,https://cdn.tgdd.vn/Products/Images/42/114110/iphone-8-plus-hh-400x400.jpg,,,,,,,,,,
,,,iPhone 8 Plus Red 64GB (Đỏ),,,,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 3 GB, ROM: 64 GB,Camera: 2 camera 12 MP, Selfie: 7 MP,PIN: 2691 mAh",,,,,,,,,,,,,,,,,,,,https://cdn3.tgdd.vn/Products/Images/42/158738/iphone-8-plus-red-400x400.jpg,,,,,,,,,,
,,,iPhone 7 Plus 128GB,,,,,"Màn hình: 5.5"", Retina HD,HĐH: iOS 11,CPU: Apple A10 Fusion 4 nhân,RAM: 3 GB, ROM: 128 GB,Camera: 2x12 MP, Selfie: 7 MP,PIN: 2900 mAh, SIM: 1 SIM",,,,,,,,,,,,,,,,22.990.000₫,,,,https://cdn4.tgdd.vn/Products/Images/42/87839/iphone-7-plus-128gb-hh-400x400.jpg,,,,,,,,,,
,,,iPhone 8 64GB,,,,,"Màn hình: 4.7"", Retina HD,HĐH: iOS 11,CPU: Apple A11 Bionic 6 nhân,RAM: 2 GB, ROM: 64 GB,Camera: 12 MP, Selfie: 7 MP,PIN: 1821 mAh",,,,,,,,,,,,,,,,20.990.000₫,,,,https://cdn3.tgdd.vn/Products/Images/42/114113/iphone-8-64gb-hh-400x400.jpg,,,,,,,,,,
,,,Vivo V9,,,,,"Màn hình: 6.3"", Full HD+,HĐH: Android 8.1 (Oreo),CPU: Snapdragon 626 8 nhân 64-bit,RAM: 4 GB, ROM: 64 GB,Camera: 16 MP và 5 MP (2 camera), Selfie: 24 MP,PIN: 3260 mAh",,,,,,,,,,,,,,,,7.990.000₫,,,,https://cdn2.tgdd.vn/Products/Images/42/155047/vivo-v9-2-1-400x400.jpg,,,,,,,,,,
,,,Sony Xperia XA1 Ultra,,,,,"Màn hình: 6"", Full HD,HĐH: Android 7.0,CPU: Helio P20, 8 nhân,RAM: 4 GB, ROM: 64 GB,Camera: 23 MP, Selfie: 16 MP,PIN: 2700 mAh, SIM: 2 SIM",,,,,,,,,,,,,,,,7.990.000₫,,,,https://cdn4.tgdd.vn/Products/Images/42/92074/sony-xa1-ultra-hh-400x400.jpg,,,,,,,,,,
,,,Sony Xperia X,,,,,"Màn hình: 5"", Full HD,HĐH: Android 6.0 (Marshmallow),CPU: Snapdragon 650 6 nhân,RAM: 3 GB, ROM: 64 GB,Camera: 23 MP, Selfie: 13 MP,PIN: 2620 mAh, SIM: 2 SIM",,,,,,,,,,,,,,,,7.490.000₫,,,,https://cdn4.tgdd.vn/Products/Images/42/75244/sony-xperia-x-hh-400x400.jpg,,,,,,,,,,
